0.401,  1.750,  0.198,  0.203,  0.000,  1.644,  0.800,  1.000,  -0.245,  -1.957,  0.000,  0.000, 
 0.418,  1.678,  0.160,  0.166,  0.382,  1.865,  0.845,  0.000,  -4.873,  -1.243,  0.436,  0.247, 
 0.479,  1.515,  0.169,  0.243,  0.000,  2.624,  0.776,  1.000,  -5.295,  -2.956,  0.000,  0.000, 
 0.451,  2.033,  0.206,  0.230,  0.821,  1.372,  0.828,  0.000,  -1.678,  -1.385,  0.414,  0.460, 
 0.270,  1.000,  0.066,  0.174,  0.000,  3.396,  0.741,  1.000,  -6.276,  -0.326,  0.000,  0.000, 
 1.000,  1.000,  0.500,  0.500,  0.000,  12.566,  0.155,  1.000,  0.000,  0.000,  0.000,  0.000, 
 0.567,  1.895,  0.287,  0.281,  0.000,  1.983,  0.966,  1.000,  0.294,  0.816,  0.000,  0.000, 
 0.334,  1.000,  0.167,  0.120,  0.000,  4.195,  0.759,  1.000,  0.000,  -5.409,  0.000,  0.000, 
 0.343,  2.155,  0.182,  0.176,  1.229,  0.928,  0.695,  0.000,  0.756,  -0.497,  0.447,  0.459, 
 0.367,  1.069,  0.281,  0.163,  0.000,  4.034,  0.475,  1.000,  6.347,  -0.450,  0.000,  0.000, 
 0.368,  1.755,  0.187,  0.199,  0.000,  1.500,  0.661,  1.000,  0.311,  1.735,  0.000,  0.000, 
 0.333,  1.750,  0.197,  0.169,  0.000,  1.366,  0.695,  1.000,  1.824,  -1.212,  0.000,  0.000, 
 0.390,  2.268,  0.178,  0.201,  0.546,  0.953,  0.678,  0.000,  -1.814,  -1.108,  0.453,  0.656, 
 0.389,  2.545,  0.197,  0.198,  0.847,  0.755,  0.678,  -1.000,  -0.534,  -0.933,  0.426,  0.488, 
 0.397,  2.247,  0.216,  0.200,  0.532,  0.989,  0.678,  0.000,  1.015,  0.890,  0.406,  0.279, 
 0.310,  1.695,  0.173,  0.159,  0.358,  1.357,  0.724,  0.000,  -0.905,  0.150,  0.413,  0.444, 
 0.347,  1.778,  0.169,  0.172,  0.000,  1.378,  0.707,  1.000,  -0.069,  -1.605,  0.000,  0.000, 
 0.246,  1.212,  0.128,  0.096,  0.000,  2.104,  0.707,  1.000,  0.443,  -3.358,  0.000,  0.000, 